"1";"3";"3";"1"
"2";"5";"3";"1"
"3";"6";"3";"1"
"4";"7";"3";"1"
"5";"8";"3";"1"
"6";"9";"3";"1"
"7";"10";"3";"1"
"8";"11";"3";"1"
"9";"12";"3";"1"
"10";"13";"3";"1"
"11";"14";"3";"1"
"12";"15";"3";"1"
"13";"16";"3";"1"
"14";"17";"3";"1"
"15";"18";"3";"1"
"16";"19";"3";"1"
"17";"20";"3";"1"
"18";"21";"3";"1"
"19";"22";"3";"1"
"20";"23";"3";"1"
"21";"24";"3";"1"
"22";"25";"3";"1"
"23";"26";"3";"1"
"24";"27";"3";"1"
"25";"28";"3";"1"
"26";"29";"3";"1"
"27";"30";"3";"1"
"28";"31";"3";"1"
"29";"32";"3";"1"
"30";"33";"3";"1"
"31";"34";"3";"1"
"32";"35";"3";"1"
"33";"36";"3";"1"
"34";"37";"3";"1"
"35";"38";"3";"1"
"36";"39";"3";"1"
"37";"40";"3";"1"
"38";"41";"3";"1"
"39";"42";"3";"1"
"40";"43";"3";"1"
"41";"44";"3";"1"
"42";"45";"3";"1"
"43";"46";"3";"1"
"44";"47";"3";"1"
"45";"48";"3";"1"
"46";"49";"3";"1"
"47";"50";"3";"1"
"48";"51";"3";"1"
"49";"52";"3";"1"
"50";"53";"3";"1"
"51";"54";"3";"1"
"52";"55";"3";"2"
"53";"56";"3";"2"
"54";"57";"3";"2"
"55";"58";"3";"2"
"56";"59";"3";"2"
"57";"60";"3";"0"
"58";"61";"3";"0"
"59";"62";"3";"0"
"60";"3";"4";"1"
"61";"5";"4";"1"
"62";"6";"4";"0"
"63";"7";"4";"0"
"64";"8";"4";"1"
"65";"9";"4";"1"
"66";"10";"4";"1"
"67";"11";"4";"1"
"68";"12";"4";"1"
"69";"13";"4";"0"
"70";"14";"4";"1"
"71";"15";"4";"1"
"72";"16";"4";"1"
"73";"17";"4";"1"
"74";"18";"4";"1"
"75";"19";"4";"1"
"76";"20";"4";"1"
"77";"21";"4";"1"
"78";"22";"4";"1"
"79";"23";"4";"1"
"80";"24";"4";"1"
"81";"25";"4";"1"
"82";"26";"4";"1"
"83";"27";"4";"1"
"84";"28";"4";"1"
"85";"29";"4";"1"
"86";"30";"4";"1"
"87";"31";"4";"1"
"88";"32";"4";"1"
"89";"33";"4";"1"
"90";"34";"4";"1"
"91";"35";"4";"1"
"92";"36";"4";"1"
"93";"37";"4";"1"
"94";"38";"4";"1"
"95";"39";"4";"1"
"96";"40";"4";"1"
"97";"41";"4";"1"
"98";"42";"4";"1"
"99";"43";"4";"1"
"100";"44";"4";"1"
"101";"46";"4";"1"
"102";"47";"4";"1"
"103";"48";"4";"1"
"104";"49";"4";"1"
"105";"45";"4";"1"
"106";"50";"4";"2"
"107";"51";"4";"2"
"108";"52";"4";"2"
"109";"53";"4";"2"
"110";"54";"4";"2"
"111";"55";"4";"1"
"112";"56";"4";"1"
"113";"57";"4";"1"
"114";"58";"4";"1"
"115";"59";"4";"1"
"116";"60";"4";"1"
"117";"61";"4";"1"
"118";"62";"4";"1"
"119";"3";"5";"1"
"120";"5";"5";"1"
"121";"6";"5";"1"
"122";"7";"5";"1"
"123";"8";"5";"1"
"124";"9";"5";"1"
"125";"10";"5";"1"
"126";"11";"5";"1"
"127";"12";"5";"1"
"128";"13";"5";"1"
"129";"14";"5";"1"
"130";"15";"5";"1"
"131";"16";"5";"1"
"132";"17";"5";"1"
"133";"18";"5";"1"
"134";"19";"5";"1"
"135";"20";"5";"1"
"136";"21";"5";"1"
"137";"22";"5";"1"
"138";"23";"5";"1"
"139";"24";"5";"1"
"140";"25";"5";"1"
"141";"26";"5";"1"
"142";"27";"5";"1"
"143";"28";"5";"1"
"144";"29";"5";"1"
"145";"30";"5";"1"
"146";"31";"5";"1"
"147";"32";"5";"1"
"148";"33";"5";"1"
"149";"34";"5";"1"
"150";"35";"5";"1"
"151";"36";"5";"1"
"152";"37";"5";"1"
"153";"38";"5";"1"
"154";"39";"5";"1"
"155";"40";"5";"1"
"156";"41";"5";"1"
"157";"42";"5";"1"
"158";"43";"5";"1"
"159";"44";"5";"1"
"160";"45";"5";"1"
"161";"46";"5";"1"
"162";"47";"5";"1"
"163";"48";"5";"1"
"164";"49";"5";"1"
"165";"50";"5";"1"
"166";"51";"5";"1"
"167";"52";"5";"1"
"168";"53";"5";"1"
"169";"54";"5";"1"
"170";"55";"5";"1"
"171";"56";"5";"1"
"172";"57";"5";"1"
"173";"58";"5";"1"
"174";"59";"5";"1"
"175";"60";"5";"1"
"176";"61";"5";"1"
"177";"62";"5";"1"
"178";"3";"6";"1"
"179";"5";"6";"1"
"180";"6";"6";"1"
"181";"7";"6";"1"
"182";"8";"6";"1"
"183";"9";"6";"1"
"184";"10";"6";"1"
"185";"11";"6";"1"
"186";"12";"6";"1"
"187";"13";"6";"1"
"188";"14";"6";"1"
"189";"15";"6";"1"
"190";"16";"6";"1"
"191";"17";"6";"1"
"192";"18";"6";"1"
"193";"19";"6";"1"
"194";"20";"6";"1"
"195";"21";"6";"1"
"196";"22";"6";"1"
"197";"23";"6";"1"
"198";"24";"6";"1"
"199";"25";"6";"1"
"200";"26";"6";"1"
"201";"27";"6";"1"
"202";"28";"6";"1"
"203";"29";"6";"1"
"204";"30";"6";"1"
"205";"31";"6";"1"
"206";"32";"6";"1"
"207";"33";"6";"1"
"208";"34";"6";"1"
"209";"35";"6";"1"
"210";"36";"6";"1"
"211";"37";"6";"1"
"212";"38";"6";"1"
"213";"39";"6";"1"
"214";"40";"6";"1"
"215";"41";"6";"1"
"216";"42";"6";"1"
"217";"43";"6";"1"
"218";"44";"6";"1"
"219";"45";"6";"1"
"220";"46";"6";"1"
"221";"47";"6";"1"
"222";"48";"6";"1"
"223";"49";"6";"1"
"224";"50";"6";"1"
"225";"51";"6";"1"
"226";"52";"6";"2"
"227";"53";"6";"2"
"228";"54";"6";"2"
"229";"55";"6";"2"
"230";"56";"6";"2"
"231";"57";"6";"0"
"232";"58";"6";"0"
"233";"59";"6";"0"
"234";"60";"6";"0"
"235";"61";"6";"0"
"236";"62";"6";"0"
